property_name,address,latitude,longitude,price_range,bedroom,bathroom,room_area,amenities
Coeval Apartments,"51 E 14th St, Chicago, IL, 60605",41.864058,-87.625316,"$1,765–$0",0 - 2 bed,1 - 2 ba,467 - 1154 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Regents Park Apartments,"5035 S East End Ave, Chicago, IL, 60615",41.803227,-87.585267,"$1,375–$4,828",0 - 3 bed,1 - 9 ba,550 - 1325 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
1000 N. LaSalle Apartments,"1000 N Lasalle Dr, Chicago, IL, 60610",41.900756,-87.633168,"$1,599–$1,954",0 - 1 bed,1 - 1 ba,400 - 675 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
1401 South State Apartments,"1401 S State St, Chicago, IL, 60605",41.863766,-87.626911,"$1,775–$3,300",0 - 2 bed,1 - 2 ba,567 - 1071 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Arrive LEX Apartments,"2138 S Indiana Ave, Chicago, IL, 60616",41.853166,-87.622294,"$1,920–$5,195",1 - 2 bed,1 - 2 ba,697 - 1409 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Chestnut Place Apartments,"8 W Chestnut St, Chicago, IL, 60610",41.898016,-87.628598,"$1,895–$2,944",1 - 2 bed,1 - 1 ba,655 - 1024 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
17-25 N Bishop Apartments,"25 N Bishop St, Chicago, IL, 60607",41.882285,-87.663545,"$3,695–$4,000",3 - 3 bed,2 - 2 ba,1600 - 2800 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Arrive Streeterville Apartments,"333 E Ontario St, Chicago, IL, 60611",41.893313,-87.618708,"$1,475–$4,635",0 - 2 bed,1 - 2 ba,496 - 1243 sq ft,"Pet Friendly, Parking Available"
350 W Oakdale Apartments,"350 W Oakdale Ave, Chicago, IL, 60657",41.935902,-87.638952,"$1,302–$1,841",0 - 1 bed,1 - 1 ba,400 - 700 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
851 West Apartments,"851 W Grand Ave, Chicago, IL, 60642",41.890905,-87.649706,"$2,050–$2,215",1 - 1 bed,1 - 1 ba,765 - 765 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
350 W Oakdale Apartments,"350 W Oakdale Ave, Chicago, IL, 60657",41.935902,-87.638952,"$1,302–$1,841",0 - 1 bed,1 - 1 ba,400 - 700 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
SoNu Digs Apartments,"1515 N Fremont St, Chicago, IL, 60642",41.908912,-87.651056,"$1,410–$1,600",0 - 0 bed,1 - 1 ba,366 - 438 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
5252 Apartments,"5252 S Cornell Ave, Chicago, IL, 60615",41.800143,-87.585735,"$1,875–$8,350",0 - 3 bed,1 - 2 ba,572 - 1791 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
20 East Scott Apartments,"20 E Scott St, Chicago, IL, 60610",41.905139,-87.6279,"$1,935",1 - 1 bed,1 - 1 ba,700 - 700 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
Addams Coliving Apartments,"1407 W 15th St, Chicago, IL, 60608",41.861493,-87.661934,"$858–$1,200",0 - 0 bed,1 - 1 ba,200 - 200 sq ft,"Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Axis Apartments,"441 E Erie St, Chicago, IL, 60611",41.894028,-87.616621,"$1,520–$3,700",0 - 2 bed,1 - 2 ba,471 - 1627 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
500 West Belmont Apartments,"500 W Belmont Ave, Chicago, IL, 60657",41.940087,-87.641967,"$1,299–$1,670",0 - 1 bed,1 - 1 ba,440 - 670 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
west77 Apartments,"77 W Huron St, Chicago, IL, 60654",41.894611,-87.630777,"$1,850–$4,720",0 - 2 bed,1 - 2 ba,536 - 1312 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Ravenswood","4537 N Leavitt St #1, Chicago, IL, 60625",41.964396,-87.683718,"$1,260",1 Bed,1 Bath,750 sq ft,"Pet Friendly, Utilities Included"
629 W Cornelia Apartments,"629 W Cornelia Ave, Chicago, IL, 60657",41.945685,-87.645529,"$1,997–$2,297",1 - 1 bed,1 - 1 ba,700 - 700 sq ft,"Pet Friendly, In-unit Laundry, Utilities Included"
"1 bedroom Condo, Lakeview","2828 N Burling St #209, Chicago, IL, 60657",41.933533,-87.648013,"$1,650",1 Bed,1 Bath,600 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Condo, River North","70 W Huron St #903, Chicago, IL, 60654",41.895369,-87.630901,"$1,995",1 Bed,1 Bath,925 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
441 West Oakdale Apartments,"441 W Oakdale Ave, Chicago, IL, 60657",41.935507,-87.641131,"$1,383–$1,829",0 - 1 bed,1 - 1 ba,410 - 750 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Condo, Lakeview","3430 N Elaine Pl #02, Chicago, IL, 60657",41.944589,-87.647996,"$1,595",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, West Loop","123 N Des Plaines St #905, Chicago, IL, 60661",41.883618,-87.643776,"$2,432",1 Bed,1 Bath,5 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Bucktown","2334 W Belden Ave #1, Chicago, IL, 60647",41.923574,-87.686599,"$1,175",1 Bed,1 Bath,5 sq ft,Pet Friendly
4455 South Greenwood Apartments,"4455 S Greenwood Ave, Chicago, IL, 60653",41.813448,-87.598869,"$961–$1,523",0 - 0 bed,1 - 1 ba,458 - 483 sq ft,Pet Friendly
Windermere House Apartments,"1642 E 56th St, Chicago, IL, 60637",41.793413,-87.584561,"$1,321–$3,907",0 - 2 bed,1 - 2 ba,514 - 1223 sq ft,"Pet Friendly, Parking Available, Utilities Included"
4521 N. Malden Apartments,"4521 N Malden St, Chicago, IL, 60640",41.964223,-87.661971,$795,0 - 0 bed,1 - 1 ba,290 - 290 sq ft,"Pet Friendly, Utilities Included"
5427 North Broadway Apartments,"5427 N Broadway St, Chicago, IL, 60640",41.980856,-87.659652,"$2,951–$4,467",2 - 3 bed,2 - 2 ba,1290 - 1315 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Lakeview","2934 N Racine Ave #1R, Chicago, IL, 60657",41.935425,-87.659159,"$1,450",1 Bed,1 Bath,6 sq ft,"Air Conditioning, Utilities Included"
537 West Melrose Apartments,"537 W Melrose St, Chicago, IL, 60657",41.941122,-87.643489,"$1,185–$1,629",0 - 1 bed,1 - 1 ba,400 - 580 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Condo, West Loop","1200 W Monroe St #614, Chicago, IL, 60607",41.880801,-87.657475,"$2,380",1 Bed,1 Bath,845 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Edgewater Gardens Apartments,"6100 N Winthrop Ave, Chicago, IL, 60660",41.992578,-87.658722,"$1,400–$2,500",1 - 3 bed,1 - 2 ba,600 - 1100 sq ft,"Pet Friendly, Parking Available"
Green Manor Apartments,"4435 N Greenview Ave, Chicago, IL, 60640",41.962813,-87.667011,"$1,295–$1,400",1 - 1 bed,1 - 1 ba,740 - 825 sq ft,Pet Friendly
"1 bedroom Apartment, Edgewater","5423 N Winthrop Ave #300, Chicago, IL, 60640",41.98077,-87.657524,"$1,195",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
The Legacy HB at Clarendon Park Apartments,"4520 N Clarendon Ave, Chicago, IL, 60640",41.964284,-87.650211,"$1,350–$1,895",1 - 2 bed,1 - 2 ba,420 - 840 sq ft,"Pet Friendly, Parking Available"
441 W Barry Apartments,"441 W Barry Ave, Chicago, IL, 60657",41.937374,-87.641044,"$1,295–$1,745",0 - 1 bed,1 - 1 ba,380 - 590 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Condo, Lincoln Park","2029 N Racine Ave #4-A, Chicago, IL, 60614",41.918974,-87.657888,"$1,000",1 Bed,1 Bath,1250 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
Imprint Apartments,"717 S Clark St, Chicago, IL, 60605",41.873018,-87.630588,"$1,830–$14,000",0 - 4 bed,1 - 4 ba,483 - 3276 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Noble Square","1304 W Ohio St #1F, Chicago, IL, 60642",41.892765,-87.65987,"$1,895",1 Bed + den,1 Bath,750 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Lakeview","915 W Sheridan Rd #21, Chicago, IL, 60613",41.952521,-87.652751,"$1,295",1 Bed,1 Bath,750 sq ft,"Pet Friendly, Parking Available, Utilities Included"
"1 bedroom Apartment, Lakeview","1301 W Fletcher St #123, Chicago, IL, 60657",41.93878,-87.662104,"$1,545",1 Bed,1 Bath,638 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
65 East Scott Apartments,"65 E Scott St, Chicago, IL, 60610",41.904441,-87.626174,"$1,425–$1,865",0 - 1 bed,1 - 1 ba,491 - 751 sq ft,"Parking Available, Air Conditioning"
Sheridan Plaza Apartments,"4607 N Sheridan Rd, Chicago, IL, 60640",41.965723,-87.654225,"$1,565–$2,733",1 - 2 bed,1 - 1 ba,690 - 954 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, West Loop","834 W Monroe St #ID627, Chicago, IL, 60607",41.880643,-87.648766,"$3,030",1 Bed,1 Bath,628 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
1807-09 N Lincoln Park West Apartments,"1807-1809 N Lincoln Park West, Chicago, IL, 60614",41.915106,-87.63596,"$670–$1,035",0 - 0 bed,1 - 1 ba,139 - 359 sq ft,"Pet Friendly, Utilities Included"
AMLI Deerfield Apartments,"1525  Lake Cook Rd, Deerfield, IL, 60015",42.152158,-87.866177,"$1,888–$3,952",1 - 2 bed,1 - 2 ba,722 - 1178 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
5222-38 S. Drexel Avenue Apartments,"5222 S Drexel Ave, Chicago, IL, 60615",41.799459,-87.605014,"$1,495–$2,706",2 - 3 bed,1 - 1 ba,825 - 1410 sq ft,Pet Friendly
424 W. Oakdale Apartments,"424 W Oakdale Ave, Chicago, IL, 60657",41.9358,-87.640486,"$1,045–$1,405",0 - 1 bed,1 - 1 ba,360 - 590 sq ft,"Pet Friendly, Parking Available, Utilities Included"
The Eastlake Apartments,"7729 N Eastlake Ter, Chicago, IL, 60626",42.021821,-87.66501,"$3,100–$5,500",2 - 3 bed,2 - 2 ba,1000 - 2000 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry, Utilities Included"
1049 West Oakdale Apartments,"1049 W Oakdale Ave, Chicago, IL, 60657",41.935064,-87.65588,"$1,146–$1,244",0 - 0 bed,1 - 1 ba,385 - 415 sq ft,Pet Friendly
2630 North Hampden Apartments,"2630 N Hampden Ct, Chicago, IL, 60614",41.930052,-87.641105,"$1,251–$1,699",0 - 1 bed,1 - 1 ba,330 - 595 sq ft,"Pet Friendly, Parking Available"
Belmont Court Apartments,"3158 N Clark St, Chicago, IL, 60657",41.939235,-87.650407,"$1,145",0 - 0 bed,1 - 1 ba,395 - 395 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
515 West Barry Apartments,"515 W Barry Ave, Chicago, IL, 60657",41.937351,-87.642691,"$1,245–$1,770",0 - 1 bed,1 - 1 ba,400 - 580 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
Winthrop Place Apartments,"6124 N Winthrop Ave, Chicago, IL, 60660",41.993248,-87.658487,"$960–$1,130",0 - 1 bed,1 - 1 ba,400 - 540 sq ft,Parking Available
5047-49 N Central Park Apartments,"5047-5049 N Central Park Ave, Chicago, IL, 60625",41.973334,-87.718005,"$1,350",2 - 2 bed,1 - 1 ba,732 - 732 sq ft,"Pet Friendly, Utilities Included"
Melrose Shores Apartments,"520 W Melrose St, Chicago, IL, 60657",41.941481,-87.642746,"$1,475–$1,500",1 - 1 bed,1 - 1 ba,560 - 560 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
5535 S Kimbark Apartments,"5535 S Kimbark Ave, Chicago, IL, 60637",41.794019,-87.594216,"$2,200–$2,300",2 - 2 bed,1 - 1 ba,672 - 672 sq ft,Pet Friendly
Sentral Michigan Avenue Apartments,"808 S Michigan Ave, Chicago, IL, 60605",41.871491,-87.624573,"$1,702–$6,897",0 - 2 bed,1 - 2 ba,500 - 1130 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Logan Square","3706 W Lyndale St #2, Chicago, IL, 60647",41.921944,-87.719658,"$1,200",1 Bed + den,1 Bath,5 sq ft,Pet Friendly
"1 bedroom Apartment, Lincoln Square","5160 N Leavitt St #3, Chicago, IL, 60625",41.975812,-87.684576,"$1,675",1 Bed,1 Bath,5 sq ft,"Pet Friendly, In-unit Laundry, Utilities Included"
"1 bedroom Condo, Streeterville","401 E Ontario St #708, Chicago, IL, 60611",41.893211,-87.616401,"$2,000",1 Bed,1 Bath,800 sq ft,"Parking Available, Air Conditioning"
"1 bedroom Apartment, Lakeview","1480 W Byron St #3, Chicago, IL, 60657",41.952802,-87.667266,"$1,450",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Condo, University Village","811 S Lytle St #505, Oak Park, IL, 60607",41.871538,-87.657544,"$1,600",1 Bed,1 Bath,900 sq ft,"Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
5202-5210 S Cornell Apartments,"5202-5210 S Cornell Ave, Chicago, IL, 60615",41.800818,-87.586449,"$1,035–$1,542",0 - 0 bed,1 - 1 ba,464 - 532 sq ft,Pet Friendly
"1 bedroom Apartment, Pilsen","1310 W 18th St #2D, Chicago, IL, 60608",41.858026,-87.659202,"$1,350",1 Bed,1 Bath,600 sq ft,"Pet Friendly, Air Conditioning"
549 West Aldine Apartments,"549 W Aldine Ave, Chicago, IL, 60657",41.94192,-87.643846,$775–$945,0 - 0 bed,1 - 1 ba,282 - 282 sq ft,"Pet Friendly, Parking Available"
"1 bedroom Apartment, Albany Park","4943 N Whipple St #3N, Chicago, IL, 60625",41.971536,-87.704538,"$1,050",1 Bed,1 Bath,5 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Ukrainian Village","2038 W Chicago Ave #2 F, Chicago, IL, 60622",41.896064,-87.678612,"$1,450",1 Bed + den,1 Bath,825 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lincoln Park","840 W Blackhawk St #908, Chicago, IL, 60642",41.908942,-87.650026,"$1,979",1 Bed,1 Bath,5 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Streeterville","500 N Lake Shore Dr #ID157, Chicago, IL, 60611",41.891618,-87.614794,"$3,570",1 Bed,1 Bath,743 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
5336-5338 S Hyde Park Apartments,"5336-5338 S Hyde Park Blvd, Chicago, IL, 60615",41.798473,-87.584417,"$1,100–$1,445",1 - 1 bed,1 - 1 ba,453 - 453 sq ft,"Pet Friendly, Parking Available"
5400-5408 S Ingleside Apartments,"5400 S Ingleside Ave, Chicago, IL, 60615",41.797709,-87.603151,"$1,700–$2,780",1 - 2 bed,1 - 1 ba,941 - 998 sq ft,Pet Friendly
Paramour Apartments,"4850 S Drexel Blvd, Chicago, IL, 60615",41.806201,-87.604849,"$1,494–$2,196",1 - 1 bed,1 - 1 ba,543 - 675 sq ft,"Pet Friendly, Parking Available"
L - Logan Square Apartments,"2211 N Milwaukee Ave, Chicago, IL, 60647",41.921209,-87.694427,"$1,050–$1,925",0 - 1 bed,1 - 1 ba,414 - 721 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Condo, Chicago Loop","125 S Jefferson St #1501, Chicago, IL, 60661",41.879936,-87.642076,"$1,800",1 Bed,1 Bath,725 sq ft,"Air Conditioning, In-unit Laundry, Utilities Included"
5474-5480 South Hyde Park Apartments,"5474-5480 S Hyde Park Blvd, Chicago, IL, 60615",41.795917,-87.584388,"$940–$3,550",0 - 4 bed,1 - 2 ba,295 - 1840 sq ft,"Pet Friendly, Parking Available"
"1 bedroom Apartment, Noble Square","1470 W Huron St #3R, Chicago, IL, 60642",41.894579,-87.664976,"$1,675",1 Bed + den,1 Bath,500 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Noble Square","1470 W Huron St #2-F, Chicago, IL, 60642",41.89451,-87.665118,"$1,675",1 Bed,1 Bath,510 sq ft,"Pet Friendly, Air Conditioning"
5516 N Kenmore Apartments,"5516 N Kenmore Ave, Chicago, IL, 60640",41.982423,-87.656968,"$987–$1,047",0 - 0 bed,1 - 1 ba,450 - 500 sq ft,"Pet Friendly, Parking Available, Utilities Included"
Grace Shores Apartments,"639 - 55 W Grace St, Chicago, IL, 60613",41.951509,-87.646814,"$1,040–$1,395",0 - 1 bed,1 - 1 ba,350 - 600 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Apartment, East Village","1649 W Superior St #1R, Chicago, IL, 60622",41.89493,-87.669154,"$1,475",1 Bed + den,1 Bath,5 sq ft,"Pet Friendly, Air Conditioning"
Van der Rohe Apartments,"2933 N Sheridan Rd, Chicago, IL, 60657",41.935231,-87.638882,"$1,775–$1,845",1 - 1 bed,1 - 1 ba,690 - 690 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
Woodlawn Terrace Apartments,"4726 S Woodlawn Ave, Chicago, IL, 60615",41.808648,-87.597478,"$925–$1,766",0 - 1 bed,1 - 1 ba,346 - 569 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Uptown","4752 N Racine Ave #206, Chicago, IL, 60640",41.968773,-87.659956,"$1,395",1 Bed,1 Bath,850 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Lakeview","3833 N Broadway Ave #514, Chicago, IL, 60613",41.952229,-87.649428,"$2,400",1 Bed,1 Bath,770 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Wave Lakeview Apartments,"420 W Belmont Ave, Chicago, IL, 60657",41.940547,-87.639989,"$1,600–$3,350",0 - 2 bed,1 - 1 ba,488 - 1145 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Condo, Lincoln Park","444 W Fullerton Pkwy #1010, Chicago, IL, 60614",41.925716,-87.640451,"$1,950",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
5350-5358 S. Maryland Apartments,"5350 S Maryland Ave, Chicago, IL, 60615",41.796968,-87.605282,"$1,595–$2,511",2 - 2 bed,1 - 1 ba,910 - 910 sq ft,Pet Friendly
3130 North Lake Shore Drive Apartments,"3130 N Lake Shore Dr, Chicago, IL, 60657",41.938919,-87.638674,"$1,334–$2,499",0 - 2 bed,1 - 1 ba,360 - 850 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
634 West Cornelia Apartments,"634-642 W Cornelia Ave, Chicago, IL, 60657",41.94594,-87.645949,"$1,533–$1,649",1 - 1 bed,1 - 1 ba,660 - 720 sq ft,Pet Friendly
The Covington Apartments,"4600 N Clarendon Ave, Chicago, IL, 60640",41.965708,-87.65046,"$1,150–$1,992",0 - 2 bed,1 - 1 ba,375 - 1150 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Apartment, West Loop","1035 W Van Buren St #ID438, Chicago, IL, 60607",41.8763,-87.65372,"$3,260",1 Bed,1 Bath,739 sq ft,"Pet Friendly, In-unit Laundry"
"1 bedroom Condo, Logan Square","3061 W Logan Blvd #05, Chicago, IL, 60647",41.927905,-87.704907,"$1,995",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Condo, Lincoln Square","4755 N Washtenaw Ave #402, Chicago, IL, 60625",41.968296,-87.695978,"$1,800",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Drexel Grand Apartments,"5220 S Drexel Ave, Chicago, IL, 60615",41.799599,-87.603896,"$965–$1,918",0 - 1 bed,1 - 1 ba,350 - 460 sq ft,Pet Friendly
4401 North Clark Apartments,"4401 N Clark St, Chicago, IL, 60640",41.961804,-87.665652,"$1,760–$2,250",2 - 3 bed,1 - 2 ba,918 - 1122 sq ft,"Pet Friendly, Air Conditioning"
2970 N Sheridan Apartments,"2970 N Sheridan Rd, Chicago, IL, 60657",41.936381,-87.639731,"$965–$2,250",0 - 1 bed,1 - 1 ba,292 - 476 sq ft,"Pet Friendly, Utilities Included"
8 East Huron Apartments,"8 E Huron St, Chicago, IL, 60611",41.89512,-87.627761,"$2,525–$6,895",1 - 2 bed,1 - 2 ba,540 - 1460 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
455 W Wellington Apartments,"455 W Wellington Ave, Chicago, IL, 60657",41.936452,-87.641418,"$1,199–$1,665",0 - 1 bed,1 - 1 ba,400 - 580 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
Lakeview 3200 Apartments,"3218 N Clark St, Chicago, IL, 60657",41.940383,-87.651219,"$2,135–$3,330",1 - 2 bed,1 - 2 ba,620 - 1264 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Noble Square","1425 W Augusta Blvd #01, Chicago, IL, 60642",41.899584,-87.66353,"$1,700",1 Bed,1 Bath,4 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Logan Square","2211 N Milwaukee Ave #408, Chicago, IL, 60647",41.921296,-87.694081,"$2,100",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Sheridan Tower Apartments,"5650 N Sheridan Rd, Chicago, IL, 60660",41.985226,-87.655655,"$1,130–$2,395",0 - 1 bed,1 - 1 ba,600 - 825 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
ReNew Downers Grove Apartments,"2845  Easton St, Downers Grove, IL, 60515",41.836066,-88.032411,"$1,365–$3,795",0 - 2 bed,1 - 2 ba,507 - 1735 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
632 West Addison Apartments,"632 W Addison St, Chicago, IL, 60657",41.947525,-87.646791,"$1,071–$2,142",0 - 2 bed,1 - 1 ba,425 - 860 sq ft,"Pet Friendly, Parking Available"
2756 N. Pine Grove Apartments,"2756 N Pine Grove Ave, Chicago, IL, 60614",41.932656,-87.641441,"$1,585–$2,231",1 - 2 bed,1 - 1 ba,590 - 855 sq ft,"Pet Friendly, Air Conditioning"
5049 S Drexel Apartments,"5049 S Drexel Blvd, Chicago, IL, 60615",41.802519,-87.603402,"$1,195–$1,979",1 - 1 bed,1 - 1 ba,660 - 750 sq ft,"Pet Friendly, Parking Available"
4721 South Ellis Apartments,"4721-29 S Ellis Ave, Chicago, IL, 60615",41.80883,-87.601025,"$884–$1,640",0 - 1 bed,1 - 1 ba,266 - 445 sq ft,"Pet Friendly, Utilities Included"
Hamilton Place Apartments,"6820 N Hamilton Ave, Chicago, IL, 60645",42.005893,-87.684144,"$1,185",1 - 1 bed,1 - 1 ba,850 - 850 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Hyde Park","5454 S Shore Dr #1213, Chicago, IL, 60615",41.796441,-87.581673,"$2,075",1 Bed,1 Bath,788 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
500 W. Fullerton Apartments,"500 W Fullerton Pkwy, Chicago, IL, 60614",41.925718,-87.641287,"$1,085–$1,195",0 - 0 bed,1 - 1 ba,310 - 310 sq ft,"Pet Friendly, Utilities Included"
5300-5308 S. Hyde Park Apartments,"5300 S Hyde Park Blvd, Chicago, IL, 60615",41.799294,-87.584444,"$1,055–$2,538",0 - 2 bed,1 - 1 ba,365 - 940 sq ft,"Pet Friendly, Parking Available"
"1 bedroom Condo, Lincoln Park","1760 W Wrightwood Ave #103, Chicago, IL, 60614",41.928923,-87.672675,"$2,750",1 Bed,1 Bath,964 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
515 West Briar Apartments,"515 W Briar Pl, Chicago, IL, 60657",41.938703,-87.643245,"$1,189–$1,539",0 - 1 bed,1 - 1 ba,425 - 570 sq ft,Pet Friendly
5552-5560 N. Lakewood Apartments,"5552-60 N Lakewood Ave, Chicago, IL, 60640",41.983372,-87.662575,$995,0 - 0 bed,1 - 1 ba,400 - 400 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Lakeview","2932 N Clark St #1B, Chicago, IL, 60657",41.935713,-87.647479,"$1,395",1 Bed,1 Bath,730 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
The Sutherland Apartments,"4659 S Drexel Blvd, Chicago, IL, 60653",41.809856,-87.603334,"$1,117–$2,503",0 - 1 bed,1 - 1 ba,357 - 645 sq ft,"Pet Friendly, Parking Available, Utilities Included"
AMLI Evanston Apartments,"737  Chicago Ave, Evanston, IL, 60202",42.031518,-87.67874,"$1,793–$3,076",0 - 1 bed,1 - 1 ba,500 - 1004 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Albany Park","3132 W Carmen Ave #3A, Chicago, IL, 60625",41.974305,-87.7076,$890,1 Bed,1 Bath,560 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
X Chicago Apartments,"710 W 14th St, Chicago, IL, 60607",41.863577,-87.645535,"$1,079–$2,750",1 - 2 bed,1 - 2 ba,319 - 1175 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Edgewater","5322 N Glenwood Ave #1, Chicago, IL, 60640",41.978865,-87.664967,"$1,720",1 Bed,1 Bath,1000 sq ft,"Pet Friendly, Utilities Included"
1940 North Lincoln Apartments,"1940 N Lincoln Ave, Chicago, IL, 60614",41.918437,-87.638976,"$1,174–$1,398",0 - 0 bed,1 - 1 ba,275 - 300 sq ft,Pet Friendly
5400-5406 S Maryland Apartments,"5400 S Maryland Ave, Chicago, IL, 60615",41.79663,-87.60536,"$1,500–$3,531",2 - 4 bed,1 - 1 ba,605 - 915 sq ft,Pet Friendly
The Pepperland Apartments,"1509 E 57th St, Chicago, IL, 60637",41.791395,-87.588638,"$2,100–$3,285",3 - 3 bed,1 - 1 ba,965 - 1042 sq ft,Pet Friendly
The Chatelaine Apartments,"215 E Chestnut St, Chicago, IL, 60611",41.898304,-87.621219,"$2,110",1 - 1 bed,1 - 1 ba,725 - 725 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
5715-5725 S. Kimbark Avenue Apartments,"5715 S Kimbark Ave, Chicago, IL, 60637",41.790837,-87.594701,"$3,500–$5,000",3 - 3 bed,1 - 1 ba,1682 - 1682 sq ft,Pet Friendly
