property_name,address,latitude,longitude,price_range,bedroom,bathroom,room_area,amenities
"1 bedroom Apartment, Gold Coast","10 W Elm St #Apt 8, Chicago, IL, 60610",41.903275,-87.62845,"$1,945",1 Bed,1 Bath,1000 sq ft,"Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lincoln Square","2704 W Gunnison St #3, Chicago, IL, 60625",41.969801,-87.696694,"$1,250",1 Bed,1 Bath,5 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Gold Coast","10 W Elm St #02, Chicago, IL, 60610",41.903362,-87.628961,"$1,895",1 Bed,1 Bath,1000 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, Wrigleyville","3549 N Racine Ave #3, Chicago, IL, 60657",41.946729,-87.659042,"$1,350",1 Bed,1 Bath,650 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Ravenswood","1610 W Sunnyside Ave #3w, Chicago, IL, 60640",41.963645,-87.669918,"$1,215",1 Bed,1 Bath,3 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Bucktown","1641 N Oakley Ave #Coach, Chicago, IL, 60647",41.911559,-87.684562,"$1,900",1 Bed,1 Bath,4 sq ft,Air Conditioning
"1 bedroom Apartment, River North","166 W Grand Ave #2-A, Chicago, IL, 60654",41.891819,-87.633639,"$2,000",1 Bed,1 Bath,900 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, River North","166 W Grand Ave #3B, Chicago, IL, 60654",41.891819,-87.633639,"$1,950",1 Bed,1 Bath,900 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Gold Coast","833 N Clark St #802, Chicago, IL, 60610",41.897425,-87.630895,"$2,500",1 Bed,1 Bath,6 sq ft,"Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Condo, Buena Park","4180 N Marine Dr #711, Chicago, IL, 60613",41.958119,-87.646864,"$1,250",1 Bed,1 Bath,700 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, University Village","903 S Ashland Ave #502, Chicago, IL, 60607",41.870174,-87.665588,"$1,500",1 Bed,1 Bath,723 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, Humboldt Park","1918 N Ridgeway Ave #03, Chicago, IL, 60647",41.916042,-87.720668,"$1,525",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lakeview","1301 W Fletcher St #205, Chicago, IL, 60657",41.938778,-87.662094,"$1,495",1 Bed,1 Bath,638 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Logan Square","2197 N Rockwell St #3, Chicago, IL, 60647",41.921825,-87.692505,"$1,050",1 Bed + den,1 Bath,1200 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Lakeview","450 W Belmont Ave #ID181, Chicago, IL, 60657",41.940411,-87.641498,"$3,650",1 Bed,1 Bath,655 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Streeterville","420 E Ohio St #ID586, Chicago, IL, 60611",41.892865,-87.616517,"$3,000",1 Bed,1 Bath,895 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Chicago Loop","210 N Wells St #ID219, Chicago, IL, 60606",41.886081,-87.634222,"$2,790",1 Bed,1 Bath,837 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Lincoln Park","2345 N Lincoln Ave #1204, Chicago, IL, 60614",41.924998,-87.647079,"$3,000",1 Bed,1 Bath,777 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Condo, Ravenswood","4445 N Paulina St #C-1, Chicago, IL, 60640",41.962972,-87.67039,"$1,700",1 Bed,1 Bath,775 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Condo, Lincoln Park","1421 N Halsted St #1S, Chicago, IL, 60642",41.907058,-87.647906,"$1,700",1 Bed,1 Bath,700 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, West Loop","180 N Jefferson St #1310, Chicago, IL, 60661",41.885391,-87.643392,"$2,259",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Condo, Rogers Park","6619 N Sheridan Ave #502, Chicago, IL, 60626",42.003156,-87.660413,"$1,200",1 Bed,1 Bath,700 sq ft,"Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lakeview","530 W Surf St #212, Chicago, IL, 60657",41.934451,-87.642839,"$1,995",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Near West Side","1857 W Grand Ave #1F, Chicago, IL, 60622",41.890729,-87.674198,"$1,200",1 Bed,1 Bath,600 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Lakeview","445 W Wellington Ave #2-D, Chicago, IL, 60657",41.936426,-87.641065,"$1,875",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lakeview","425 W Roscoe St #409, Chicago, IL, 60657",41.943347,-87.641433,"$1,295",1 Bed,1 Bath,4 sq ft,Pet Friendly
"1 bedroom Apartment, Ravenswood","2112 W Ainslie St #1-W, Chicago, IL, 60625",41.97063,-87.682199,"$1,495",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Condo, Lincoln Park","2400 N Lakeview Ave #1003, Chicago, IL, 60614",41.925868,-87.639337,"$2,325",1 Bed,1 Bath,5 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Uptown","4752 N Racine Ave #307, Chicago, IL, 60640",41.968678,-87.659796,"$1,495",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Bucktown","1900 W North Ave #3R, Chicago, IL, 60622",41.91071,-87.675203,"$2,300",1 Bed,1 Bath,700 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, South Loop","777 S State St #1914, Chicago, IL, 60605",41.872036,-87.62721,"$1,595",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Condo, South Loop","1600 S Indiana Ave #1202, Chicago, IL, 60616",41.859895,-87.623009,"$2,000",1 Bed,1 Bath,800 sq ft,"Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Humboldt Park","1825 N Washtenaw Ave #3F, Chicago, IL, 60647",41.914649,-87.694407,"$1,850",1 Bed + den,1 Bath,700 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Condo, Lincoln Park","2650 N Lakeview Ave #3004, Chicago, IL, 60614",41.930931,-87.63996,"$1,750",1 Bed,1 Bath,663 sq ft,"Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Rogers Park","1251 W Columbia Ave #3-R, Chicago, IL, 60626",42.004224,-87.662872,"$1,150",1 Bed,1 Bath,720 sq ft,"Pet Friendly, Parking Available, Utilities Included"
"1 bedroom Apartment, Wicker Park","1342 N Bosworth Ave #1f, Chicago, IL, 60642",41.906349,-87.666532,$980,1 Bed + den,1 Bath,525 sq ft,Air Conditioning
"1 bedroom Apartment, Lincoln Park","2336 N Southport Ave #1-F, Chicago, IL, 60614",41.924498,-87.663492,"$1,750",1 Bed,1 Bath,750 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Apartment, Logan Square","2418 W Charleston St #Apt B, Chicago, IL, 60647",41.920135,-87.688313,"$1,350",1 Bed,1 Bath,900 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Condo, West Loop","659 W Randolph St #411, Chicago, IL, 60661",41.884004,-87.644741,"$1,975",1 Bed,1 Bath,655 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Lakeview","754 W Wellington Ave #3b, Chicago, IL, 60657",41.936485,-87.648934,"$1,295",1 Bed,1 Bath,681 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Condo, Edgewater","1748 W Granville Ave #1B, Chicago, IL, 60660",41.994669,-87.673774,"$1,395",1 Bed + den,1 Bath,780 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lakeview","712 W Briar Pl #2R, Chicago, IL, 60657",41.939271,-87.647379,"$1,750",1 Bed,1 Bath,5 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, Irving Park","4149 W Addison St #2, Chicago, IL, 60641",41.946076,-87.731029,"$1,095",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Condo, River North","225 W Huron St #210, Chicago, IL, 60654",41.894609,-87.63525,"$2,250",1 Bed,1 Bath,900 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Condo, Lakeview","3644 N Pine Grove Ave #02, Chicago, IL, 60613",41.949013,-87.646535,"$1,850",1 Bed,1 Bath,950 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Lincoln Park","2470 N Clark St #1406, Chicago, IL, 60614",41.927334,-87.642118,"$1,578",1 Bed,1 Bath,5 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Rogers Park","2052 W Fargo Ave #2B, Chicago, IL, 60645",42.016565,-87.682657,"$1,195",1 Bed,1 Bath,1100 sq ft,Parking Available
"1 bedroom Condo, Lincoln Park","2400 N Lakeview Ave #1003, Chicago, IL, 60614",41.925868,-87.639337,"$2,200",1 Bed,1 Bath,650 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Andersonville","4801 N Ravenswood Ave #301, Chicago, IL, 60640",41.969049,-87.673967,"$1,710",1 Bed,1 Bath,900 sq ft,Air Conditioning
"1 bedroom Apartment, Uptown","4740 N Winthrop Ave #ID572, Chicago, IL, 60640",41.968458,-87.657921,"$2,580",1 Bed,1 Bath,649 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, River North","750 N Dearborn St #2506, Chicago, IL, 60654",41.896287,-87.630284,"$1,650",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Ravenswood","2111 W Wilson Ave #01, Chicago, IL, 60625",41.964816,-87.681216,$825,1 Bed,1 Bath,1100 sq ft,"Air Conditioning, Utilities Included"
